Point{x=41, y=2, color=java.awt.Color[r=72,g=16,b=81]}
Point{x=20, y=11, color=java.awt.Color[r=105,g=174,b=214]}
Point{x=46, y=14, color=java.awt.Color[r=146,g=166,b=204]}
Point{x=44, y=1, color=java.awt.Color[r=15,g=25,b=43]}
Point{x=11, y=20, color=java.awt.Color[r=248,g=72,b=94]}
Point{x=33, y=40, color=java.awt.Color[r=158,g=238,b=35]}
Point{x=28, y=13, color=java.awt.Color[r=49,g=66,b=195]}
Point{x=12, y=31, color=java.awt.Color[r=83,g=167,b=174]}
Point{x=9, y=25, color=java.awt.Color[r=150,g=230,b=228]}
Point{x=40, y=28, color=java.awt.Color[r=157,g=99,b=130]}
Point{x=35, y=6, color=java.awt.Color[r=123,g=206,b=236]}
Point{x=33, y=22, color=java.awt.Color[r=70,g=16,b=67]}
Point{x=29, y=28, color=java.awt.Color[r=88,g=196,b=53]}
Point{x=25, y=27, color=java.awt.Color[r=140,g=214,b=123]}
Point{x=14, y=28, color=java.awt.Color[r=7,g=84,b=129]}
Point{x=18, y=2, color=java.awt.Color[r=208,g=86,b=4]}
Point{x=45, y=31, color=java.awt.Color[r=254,g=90,b=63]}
Point{x=27, y=33, color=java.awt.Color[r=173,g=12,b=75]}
Point{x=26, y=14, color=java.awt.Color[r=136,g=234,b=179]}
Point{x=7, y=23, color=java.awt.Color[r=86,g=98,b=170]}
Point{x=34, y=33, color=java.awt.Color[r=38,g=80,b=231]}
Point{x=38, y=46, color=java.awt.Color[r=159,g=172,b=33]}
Point{x=38, y=20, color=java.awt.Color[r=7,g=200,b=81]}
Point{x=26, y=23, color=java.awt.Color[r=150,g=191,b=43]}
Point{x=38, y=21, color=java.awt.Color[r=204,g=73,b=193]}
Point{x=28, y=25, color=java.awt.Color[r=164,g=40,b=18]}
Point{x=4, y=23, color=java.awt.Color[r=149,g=18,b=61]}
Point{x=5, y=10, color=java.awt.Color[r=14,g=218,b=126]}
Point{x=41, y=36, color=java.awt.Color[r=138,g=126,b=128]}
Point{x=30, y=12, color=java.awt.Color[r=154,g=38,b=149]}
Point{x=47, y=6, color=java.awt.Color[r=140,g=217,b=220]}
Point{x=24, y=47, color=java.awt.Color[r=238,g=60,b=182]}
Point{x=14, y=9, color=java.awt.Color[r=194,g=146,b=54]}
Point{x=12, y=38, color=java.awt.Color[r=215,g=28,b=209]}
Point{x=11, y=23, color=java.awt.Color[r=90,g=107,b=80]}
Point{x=21, y=10, color=java.awt.Color[r=14,g=132,b=11]}
Point{x=31, y=28, color=java.awt.Color[r=5,g=15,b=81]}
Point{x=19, y=43, color=java.awt.Color[r=46,g=147,b=89]}
Point{x=27, y=37, color=java.awt.Color[r=32,g=218,b=84]}
Point{x=5, y=20, color=java.awt.Color[r=105,g=147,b=253]}
Point{x=37, y=0, color=java.awt.Color[r=43,g=208,b=156]}
Point{x=20, y=0, color=java.awt.Color[r=12,g=56,b=129]}
Point{x=10, y=8, color=java.awt.Color[r=7,g=202,b=205]}
Point{x=24, y=43, color=java.awt.Color[r=35,g=31,b=124]}
Point{x=5, y=16, color=java.awt.Color[r=64,g=220,b=232]}
Point{x=42, y=17, color=java.awt.Color[r=198,g=67,b=225]}
